wavelength  B V R I atm
798.000 0.000 0.000 0.000 0.724 0.728
799.000 0.000 0.000 0.000 0.722 0.727
800.000 0.000 0.000 0.000 0.721 0.724
801.000 0.000 0.000 0.000 0.717 0.724
802.000 0.000 0.000 0.000 0.714 0.724
803.000 0.000 0.000 0.000 0.711 0.725
804.000 0.000 0.000 0.000 0.708 0.726
805.000 0.000 0.000 0.000 0.705 0.729
806.000 0.000 0.000 0.000 0.701 0.731
807.000 0.000 0.000 0.000 0.698 0.731
808.000 0.000 0.000 0.000 0.695 0.730
809.000 0.000 0.000 0.000 0.692 0.729
810.000 0.000 0.000 0.000 0.689 0.728
811.000 0.000 0.000 0.000 0.687 0.725
812.000 0.000 0.000 0.000 0.685 0.722
813.000 0.000 0.000 0.000 0.684 0.717
814.000 0.000 0.000 0.000 0.682 0.712
815.000 0.000 0.000 0.000 0.680 0.705
816.000 0.000 0.000 0.000 0.679 0.696
817.000 0.000 0.000 0.000 0.677 0.696
818.000 0.000 0.000 0.000 0.675 0.697
819.000 0.000 0.000 0.000 0.674 0.700
820.000 0.000 0.000 0.000 0.672 0.710
821.000 0.000 0.000 0.000 0.667 0.722
822.000 0.000 0.000 0.000 0.662 0.713
823.000 0.000 0.000 0.000 0.656 0.689
824.000 0.000 0.000 0.000 0.651 0.710
825.000 0.000 0.000 0.000 0.646 0.723
826.000 0.000 0.000 0.000 0.641 0.721
827.000 0.000 0.000 0.000 0.636 0.719
828.000 0.000 0.000 0.000 0.631 0.710
829.000 0.000 0.000 0.000 0.626 0.714
830.000 0.000 0.000 0.000 0.621 0.717
831.000 0.000 0.000 0.000 0.618 0.718
832.000 0.000 0.000 0.000 0.616 0.718
833.000 0.000 0.000 0.000 0.613 0.720
834.000 0.000 0.000 0.000 0.610 0.723
835.000 0.000 0.000 0.000 0.608 0.727
836.000 0.000 0.000 0.000 0.605 0.726
837.000 0.000 0.000 0.000 0.603 0.726
838.000 0.000 0.000 0.000 0.600 0.728
839.000 0.000 0.000 0.000 0.598 0.730
840.000 0.000 0.000 0.000 0.595 0.730
841.000 0.000 0.000 0.000 0.591 0.729
842.000 0.000 0.000 0.000 0.586 0.730
843.000 0.000 0.000 0.000 0.582 0.733
844.000 0.000 0.000 0.000 0.578 0.735
845.000 0.000 0.000 0.000 0.574 0.736
846.000 0.000 0.000 0.000 0.569 0.736
847.000 0.000 0.000 0.000 0.565 0.737
848.000 0.000 0.000 0.000 0.561 0.736
849.000 0.000 0.000 0.000 0.557 0.736
850.000 0.000 0.000 0.000 0.553 0.736
851.000 0.000 0.000 0.000 0.548 0.735
852.000 0.000 0.000 0.000 0.544 0.735
853.000 0.000 0.000 0.000 0.540 0.736
854.000 0.000 0.000 0.000 0.536 0.736
855.000 0.000 0.000 0.000 0.531 0.737
856.000 0.000 0.000 0.000 0.527 0.738
857.000 0.000 0.000 0.000 0.523 0.739
858.000 0.000 0.000 0.000 0.519 0.739
859.000 0.000 0.000 0.000 0.515 0.740
860.000 0.000 0.000 0.000 0.511 0.740
861.000 0.000 0.000 0.000 0.505 0.740
862.000 0.000 0.000 0.000 0.500 0.741
863.000 0.000 0.000 0.000 0.494 0.741
864.000 0.000 0.000 0.000 0.489 0.741
865.000 0.000 0.000 0.000 0.484 0.741
866.000 0.000 0.000 0.000 0.479 0.741
867.000 0.000 0.000 0.000 0.473 0.741
868.000 0.000 0.000 0.000 0.468 0.741
869.000 0.000 0.000 0.000 0.463 0.741
870.000 0.000 0.000 0.000 0.458 0.741
871.000 0.000 0.000 0.000 0.444 0.742
872.000 0.000 0.000 0.000 0.431 0.742
873.000 0.000 0.000 0.000 0.418 0.742
874.000 0.000 0.000 0.000 0.405 0.742
875.000 0.000 0.000 0.000 0.392 0.742
876.000 0.000 0.000 0.000 0.379 0.742
877.000 0.000 0.000 0.000 0.366 0.742
878.000 0.000 0.000 0.000 0.353 0.741
879.000 0.000 0.000 0.000 0.341 0.741
